Fecha,Audiencia,Campaña,Ventas,Alcance,Importe gastado (USD),Impresiones,Clics en el enlace,Clics (todos)
3/27/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,2,9737,49.56,10590,21,187
3/27/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,10070,24.73,10860,10,240
3/27/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,7,12646,49.07,13379,24,330
3/27/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,15381,49.57,16281,35,515
3/28/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,9858,48.97,10574,12,160
3/28/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,16274,38.59,17588,21,327
3/28/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,19791,76.79,21806,26,459
3/28/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,2,22798,70.78,23558,41,743
3/29/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,10145,48.6,10515,13,257
3/29/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,17142,47.14,18523,20,484
3/29/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,2,21275,94.07,23266,51,713
3/29/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,,25334,94.59,27375,57,1047
3/30/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,8669,49.18,9020,27,161
3/30/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,14804,47.8,15710,23,312
3/30/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,18999,96.04,20868,32,437
3/30/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,,24113,96.48,25319,58,758
3/31/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,3986,14.26,4140,9,86
3/31/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,10190,54.3,10865,14,255
3/31/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,14088,66.84,15331,26,382
3/31/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,3,28322,108.03,31112,66,1057
4/1/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,4616,19.35,4789,10,99
4/1/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,16864,51.26,18415,27,371
4/1/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,2,36896,103.53,39870,56,1208
4/2/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,17642,49.48,19649,19,351
4/2/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,41632,99.2,45820,63,1285
4/3/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,12922,48.64,14867,14,221
4/3/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,6,33084,98.43,36201,63,815
4/4/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,11544,48.09,12986,11,180
4/4/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,2,29599,96.56,32641,45,728
4/5/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,10721,47.94,12023,19,256
4/5/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,,26682,95.42,28985,44,713
4/6/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,10041,49.05,11245,15,270
4/6/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,2,26429,98.82,28818,28,628
4/7/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,13361,53.64,14982,26,478
4/7/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,3,32906,106.71,36008,53,1055
4/8/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,14195,51.62,15630,31,458
4/8/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,34970,103.27,37865,55,1008
4/9/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,12431,49.74,13608,17,323
4/9/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,25231,99.4,28790,49,621
4/10/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,12319,49.44,13579,31,324
4/10/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,2,26312,98.41,29886,41,764
4/11/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,13827,48.4,14839,19,285
4/11/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,3,27618,97.05,30029,37,670
4/12/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,14227,47.79,15789,20,312
4/12/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,30369,96.41,32869,44,719
4/13/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,7946,47.22,8327,15,113
4/13/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,,16041,95.8,16720,33,297
4/14/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,4097,52.94,4353,16,67
4/14/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,,7307,106.06,7864,19,166
4/15/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,12766,51.34,13722,20,398
4/15/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,,26778,103.52,28707,41,971
4/16/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,1,13145,60.64,13649,23,466
4/16/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,13145,49.68,14061,15,333
4/16/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,26760,99.4,28442,35,899
4/17/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,9096,48.43,10024,25,265
4/17/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,1,11140,58.89,11641,28,315
4/17/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,17472,97.81,20044,45,539
4/18/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,,2105,12.34,2175,1,38
4/18/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,9012,60.61,9642,23,216
4/18/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,9005,49.45,10178,11,287
4/18/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,9301,60.67,10397,14,210
4/18/2024,1. Emergency donors,Donation TD - Gaza - Oct 23,,24512,60.17,26851,36,435
4/19/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,9631,49.28,10540,17,298
4/19/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,2,9921,61.08,10932,17,160
4/19/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,10710,60.67,11333,24,248
4/19/2024,1. Emergency donors,Donation TD - Gaza - Oct 23,3,22361,61.7,26375,46,1642
4/20/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,5757,35.72,6130,15,169
4/20/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,7978,48.86,8963,18,369
4/20/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,8594,60.83,9468,22,188
4/20/2024,1. Emergency donors,Donation TD - Gaza - Oct 23,,30280,61.27,33695,54,2195
4/21/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,8354,50.31,9360,21,175
4/21/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,10170,50.58,11451,14,405
4/21/2024,1. Emergency donors,Donation TD - Gaza - Oct 23,3,38598,50.43,42227,71,2927
4/22/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,7565,32.15,8327,12,246
4/22/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,8908,38.41,9653,21,270
4/22/2024,1. Emergency donors,Donation TD - Gaza - Oct 23,1,24491,41.73,26232,38,1610
4/23/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,12,0.01,12,,1
4/23/2024,1. Emergency donors,Donation TD - Gaza - Oct 23,,146,0.66,150,,6
4/23/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,13482,49.76,14728,11,368
4/24/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,8895,50.1,9795,15,237
4/25/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,,38,0.42,47,,2
4/25/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Easter 24,,113,0.83,118,1,7
4/25/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Easter 24,,124,1.59,155,,8
4/25/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Easter 24,,1434,6.91,1673,6,36
4/25/2024,1. Emergency donors,Donation TD - Gaza - Easter 24,1,2877,25.27,3073,9,105
4/25/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,2,10333,48.73,11398,23,296
4/26/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,,11,0.17,12,,0
4/26/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Easter 24,,86,1.09,94,,3
4/26/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Easter 24,,91,1.07,96,,3
4/26/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Easter 24,,1369,9.47,1618,4,48
4/26/2024,1. Emergency donors,Donation TD - Gaza - Easter 24,1,5307,58.88,6077,25,350
4/26/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,9191,50.09,10290,13,250
4/27/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,,5,0.13,6,1,2
4/27/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Easter 24,,10,0.1,10,,1
4/27/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Easter 24,,50,1.36,57,2,4
4/27/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Easter 24,,360,2.38,444,2,16
4/27/2024,1. Emergency donors,Donation TD - Gaza - Easter 24,,6856,66.57,7952,38,486
4/27/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,9065,49.08,10035,15,264
4/28/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,,5,0,6,,0
4/28/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Easter 24,,24,0.08,24,,1
4/28/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Easter 24,,84,0.57,93,,1
